Problem ID,Problem Title,Area,Step ID,Step Summary,Assumption Compliance,Inference Validity,Goal Completion,Generalization Robustness,Verdict,Search Role,Rejection Source,Review Note
5,O-slice connectivity,Equivariant homotopy theory,T2,O-slice cells are compact,1,1,1,1,Accepted,Resolve,,Clean.
5,O-slice connectivity,Equivariant homotopy theory,T3,Slice localization triangle,1,1,1,1,Accepted,Resolve,,"The argument is standard for cellular filtrations, but it should be cited explicitly in a public release."
5,O-slice connectivity,Equivariant homotopy theory,T4,Detection lemma (Mackey + minimality),1,1,1,1,Accepted,Resolve,,Clean and structurally important.
5,O-slice connectivity,Equivariant homotopy theory,T5,(⇒) Forward direction,1,0,0,0,Rejected,Invalid inference,Audit,"The forward argument substitutes mu_O(H) where mu_O(H') is required. Because mu_O is not monotone for incomplete transfer systems, the inference is invalid even though the theorem itself may still be true."
5,O-slice connectivity,Equivariant homotopy theory,T6,(⇐) Backward direction,1,1,1,1,Accepted,Resolve,,Clean.
6,Schur-complement certificates,Spectral graph theory and algorithms,T1,Schur complement characterization,1,1,1,1,Accepted,Resolve,,Clean.
6,Schur-complement certificates,Spectral graph theory and algorithms,T2,Effective cut functional,1,1,1,1,Accepted,Resolve,,Clean.
6,Schur-complement certificates,Spectral graph theory and algorithms,T3,Counterexample (raw cut-test),1,1,1,1,Accepted,Resolve,,Clean.
6,Schur-complement certificates,Spectral graph theory and algorithms,T4,Two-layer bridging bound,1,1,1,1,Accepted,Resolve,,Clean.
6,Schur-complement certificates,Spectral graph theory and algorithms,T5,Threshold decomposition,1,1,1,1,Accepted,Resolve,,Clean.
6,Schur-complement certificates,Spectral graph theory and algorithms,T6,Cut-test ⇒ m-level domination,1,1,1,0,Accepted,Local-only win,,"The proof closes at fixed scale, but one multiplicative factor prevents full transfer to the strongest target statement."
6,Schur-complement certificates,Spectral graph theory and algorithms,T7,Fixed-T probabilistic certificate,1,1,1,0,Accepted,Local-only win,,"Valid fixed-parameter certificate, but it does not yet transfer to a variable-parameter version."
7,Q-acyclic universal covers,Topology and geometric group theory,T1,Free module structure,1,1,1,1,Accepted,Resolve,,Clean.
7,Q-acyclic universal covers,Topology and geometric group theory,T2,Q-acyclic ⇒ free resolution,1,1,1,1,Accepted,Resolve,,Clean.
7,Q-acyclic universal covers,Topology and geometric group theory,T3,χ(Γ)=χ(M)∈Z,1,1,1,1,Accepted,Resolve,,Clean.
7,Q-acyclic universal covers,Topology and geometric group theory,T4,Index scaling,1,1,1,1,Accepted,Resolve,,Clean.
7,Q-acyclic universal covers,Topology and geometric group theory,T5,|J| divides [Γ:H],1,1,1,1,Accepted,Resolve,,Clean.
7,Q-acyclic universal covers,Topology and geometric group theory,T6,Lifting exact sequence,1,1,1,1,Accepted,Resolve,,Clean.
7,Q-acyclic universal covers,Topology and geometric group theory,T7,Odd Euler + involution ⇒ χ=e(S)/2,1,1,1,1,Accepted,Resolve,,"Moderate caveat in the torsion argument: one finite-order step is implicit. In the intended PU(2,1) setting the conclusion is still correct."
7,Q-acyclic universal covers,Topology and geometric group theory,T8,Existence: ball quotient e=63,1,1,0,1,Partial,Refine gap,,"The required existence statement is neither proved nor cited here. If such a surface exists, the rest of the obstruction argument goes through."
7,Q-acyclic universal covers,Topology and geometric group theory,T9,Brown p-fractional theory,1,1,1,1,Accepted,Resolve,,Clean.
8,Lagrangian smoothing obstruction,Symplectic topology,T1,Product construction K=C₁×C₂,1,1,1,1,Accepted,Resolve,,Clean.
8,Lagrangian smoothing obstruction,Symplectic topology,T2,Each face Lagrangian,1,1,1,1,Accepted,Resolve,,Clean.
8,Lagrangian smoothing obstruction,Symplectic topology,T3,Maslov convention,1,1,1,1,Accepted,Resolve,,Clean.
8,Lagrangian smoothing obstruction,Symplectic topology,T4,Smooth disk ⇒ μ=0,1,1,1,1,Accepted,Resolve,,Clean.
8,Lagrangian smoothing obstruction,Symplectic topology,T5,Canonical vertex loop γv,1,1,1,1,Accepted,Resolve,,Clean.
8,Lagrangian smoothing obstruction,Symplectic topology,T6,μ(γv)=4≠0,1,1,1,1,Accepted,Resolve,,Moderate caveat about orientation when the Lagrangian planes are pi/2 apart; the local smoothing argument resolves it.
8,Lagrangian smoothing obstruction,Symplectic topology,T7,Boundary Gauss loop ≃ γv,1,1,1,1,Accepted,Resolve,,Clean.
8,Lagrangian smoothing obstruction,Symplectic topology,T8,Contradiction μ=0 vs μ=4,1,1,1,1,Accepted,Resolve,,Clean.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T1,Necessity: rank-1 ⇒ det pullback,1,1,1,1,Accepted,Resolve,,Clean.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T2,Flattening rank ≤ 4,1,1,1,1,Accepted,Resolve,,Clean.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T3,Slice rank ≤ 2,1,1,1,1,Accepted,Resolve,,Clean.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T4,Tucker decomposition,1,1,1,1,Accepted,Resolve,,Clean.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T5,Slice constraints descend,1,1,1,1,Accepted,Resolve,,Clean.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T6,Core rigidity G~ε,1,1,1,1,Accepted,Resolve,,"The intermediate Grassmannian geometry is compressed, but the overall rigidity argument is sound in outline."
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T7,"Plücker in Gr(2,4)",1,1,1,1,Accepted,Resolve,,Clean.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T8,Pencils → Grassmannian lines,1,1,1,1,Accepted,Resolve,,Clean.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T9,Line-preserving rigidity (FTPG),1,1,1,1,Accepted,Resolve,,Minor caveat: the injectivity of the column map should be spelled out explicitly.
9,Rank-one scaling certificate,Algebraic geometry and tensor methods,T10,Block scaling endgame,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T1,Vec-Kronecker + masking,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T2,Scatter-add matvec,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T3,Implicit row (mixed-radix),1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T4,Khatri-Rao Gram identity,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T5,Kronecker preconditioner,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T6,Row-count scaling,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T7,Adaptive scalar α,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T8,SPD property,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T9,Spectrum of M⁻¹Ã,1,1,1,1,Accepted,Resolve,,Clean.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T10,Matrix Chernoff (template),1,1,1,0,Accepted,Local-only win,,"A useful template with symbolic constants, but the argument is fragile outside the iid-style regime."
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T11,Without-replacement sandwich,1,1,0,0,Partial,Refine gap,,The step depends on external without-replacement matrix concentration results and is not self-contained in this workbook.
10,Matrix-free PCG for RKHS,Numerical linear algebra and kernel methods,T12,PSD sandwich ⇒ κ bound,1,1,1,1,Accepted,Resolve,,Clean.
